date,XAU=,CLc1,LCOc1,GBP=,XLK,.IXTTR,XLE,.IXE,.RUT
3/8/1981 12:00:00 AM,0,,,,,,,,
3/9/1981 12:00:00 AM,475.25,,,2.2129,,,,,
3/10/1981 12:00:00 AM,487.25,,,2.2148,,,,,
3/11/1981 12:00:00 AM,476.25,,,2.2198,,,,,
3/12/1981 12:00:00 AM,478,,,2.2183,,,,,
3/13/1981 12:00:00 AM,492,,,2.2207,,,,,
3/14/1981 12:00:00 AM,0,,,,,,,,
3/15/1981 12:00:00 AM,0,,,,,,,,
3/16/1981 12:00:00 AM,499.75,,,2.2406,,,,,
3/17/1981 12:00:00 AM,493.25,,,2.2533,,,,,
3/18/1981 12:00:00 AM,506,,,2.2727,,,,,
3/19/1981 12:00:00 AM,510,,,2.2795,,,,,
3/20/1981 12:00:00 AM,516.75,,,2.2707,,,,,
3/21/1981 12:00:00 AM,0,,,,,,,,
3/22/1981 12:00:00 AM,0,,,,,,,,
3/23/1981 12:00:00 AM,526,,,2.2502,,,,,
3/24/1981 12:00:00 AM,536.25,,,2.2645,,,,,
3/25/1981 12:00:00 AM,528,,,2.2594,,,,,
3/26/1981 12:00:00 AM,539.5,,,2.2599,,,,,
3/27/1981 12:00:00 AM,538.75,,,2.2297,,,,,
3/28/1981 12:00:00 AM,0,,,,,,,,
3/29/1981 12:00:00 AM,0,,,,,,,,
3/30/1981 12:00:00 AM,526.5,,,2.2371,,,,,
3/31/1981 12:00:00 AM,513.75,,,2.2422,,,,,
4/1/1981 12:00:00 AM,514.25,,,2.2411,,,,,
4/2/1981 12:00:00 AM,519.5,,,2.2336,,,,,
4/3/1981 12:00:00 AM,523,,,2.2036,,,,,
4/4/1981 12:00:00 AM,0,,,,,,,,
4/5/1981 12:00:00 AM,0,,,,,,,,
4/6/1981 12:00:00 AM,533.75,,,2.1758,,,,,
4/7/1981 12:00:00 AM,514.25,,,2.1839,,,,,
4/8/1981 12:00:00 AM,508.5,,,2.2109,,,,,
4/9/1981 12:00:00 AM,503,,,2.1891,,,,,
4/10/1981 12:00:00 AM,493.5,,,2.1858,,,,,
